Locality Name,Post Code,Municipality Name
Nalinga,3646,Greater Shepparton City Council
Nalinga,3646,Strathbogie Shire Council
Nambrok,3847,Wellington Shire Council
Nandaly,3533,Buloke Shire Council
Nangana,3781,Cardinia Shire Council
Nangeela,3312,Glenelg Shire Council
Nangiloc,3494,Mildura Rural City Council
Nanneella,3561,Campaspe Shire Council
Napoleons,3352,Golden Plains Shire Council
Nar Nar Goon,3812,Cardinia Shire Council
Nar Nar Goon North,3812,Cardinia Shire Council
Narbethong,3778,Murrindindi Shire Council
Nareeb,3293,Moyne Shire Council
Nareeb,3293,Southern Grampians Shire Council
Nareen,3315,Southern Grampians Shire Council
Nareewillock,3525,Buloke Shire Council
Nariel Valley,3707,East Gippsland Shire Council
Nariel Valley,3707,Towong Shire Council
Naring,3636,Moira Shire Council
Naringal,3277,Moyne Shire Council
Naringal East,3277,Moyne Shire Council
Naroghid,3266,Corangamite Shire Council
Narracan,3824,Baw Baw Shire Council
Narraport,3483,Buloke Shire Council
Narrapumelap South,3293,Ararat Rural City Council
Narrawong,3285,Glenelg Shire Council
Narre Warren,3805,Casey City Council
Narre Warren East,3804,Yarra Ranges Shire Council
Narre Warren North,3804,Casey City Council
Narre Warren South,3805,Casey City Council
Narrung,3597,Swan Hill Rural City Council
Nathalia,3638,Moira Shire Council
Natimuk,3409,Horsham Rural City Council
Natte Yallock,3465,Central Goldfields Shire Council
Natte Yallock,3465,Northern Grampians Shire Council
Natte Yallock,3465,Pyrenees Shire Council
Natya,3597,Swan Hill Rural City Council
Navarre,3384,Northern Grampians Shire Council
Navarre,3384,Pyrenees Shire Council
Navigators,3352,Moorabool Shire Council
Nayook,3832,Baw Baw Shire Council
Neds Corner,3496,Mildura Rural City Council
Neereman,3463,Mount Alexander Shire Council
Neerim,3831,Baw Baw Shire Council
Neerim East,3831,Baw Baw Shire Council
Neerim Junction,3832,Baw Baw Shire Council
Neerim North,3832,Baw Baw Shire Council
Neerim South,3831,Baw Baw Shire Council
Neilborough,3570,Greater Bendigo City Council
Nelson,3292,Glenelg Shire Council
Nerrena,3953,South Gippsland Shire Council
Nerrin Nerrin,3351,Ararat Rural City Council
Nerrin Nerrin,3351,Moyne Shire Council
Nerrina,3350,Ballarat City Council
Nerring,3373,Pyrenees Shire Council
Netherby,3418,Hindmarsh Shire Council
Neuarpurr,3413,West Wimmera Shire Council
New Gisborne,3438,Macedon Ranges Shire Council
Newborough,3825,Latrobe City Council
Newbridge,3551,Loddon Shire Council
Newbury,3458,Hepburn Shire Council
Newcomb,3219,Greater Geelong City Council
Newfield,3268,Corangamite Shire Council
Newham,3442,Macedon Ranges Shire Council
Newhaven,3925,Bass Coast Shire Council
Newington,3350,Ballarat City Council
Newlands Arm,3875,East Gippsland Shire Council
Newlyn,3364,Hepburn Shire Council
Newlyn North,3364,Hepburn Shire Council
Newmerella,3886,East Gippsland Shire Council
Newport,3015,Hobsons Bay City Council
Newry,3859,Wellington Shire Council
Newstead,3462,Mount Alexander Shire Council
Newtown,3220,Greater Geelong City Council
Newtown,3351,Golden Plains Shire Council
Nhill,3418,Hindmarsh Shire Council
Nichols Point,3501,Mildura Rural City Council
Nicholson,3882,East Gippsland Shire Council
Niddrie,3042,Moonee Valley City Council
Nilma,3821,Baw Baw Shire Council
Nilma North,3821,Baw Baw Shire Council
Ninda,3533,Buloke Shire Council
Nine Mile,3518,Loddon Shire Council
Nintingbool,3351,Golden Plains Shire Council
Ninyeunook,3527,Gannawarra Shire Council
Nirranda,3268,Moyne Shire Council
Nirranda East,3268,Corangamite Shire Council
Nirranda East,3268,Moyne Shire Council
Nirranda South,3268,Moyne Shire Council
Noble Park,3174,Greater Dandenong City Council
Noble Park North,3174,Greater Dandenong City Council
Noojee,3833,Baw Baw Shire Council
Noorat,3265,Corangamite Shire Council
Noorat,3265,Moyne Shire Council
Noorat East,3265,Corangamite Shire Council
Noorinbee,3890,East Gippsland Shire Council
Noorinbee North,3890,East Gippsland Shire Council
Noradjuha,3409,Horsham Rural City Council
Norlane,3214,Greater Geelong City Council
Normanville,3579,Gannawarra Shire Council
Norong,3682,Indigo Shire Council
North Bendigo,3550,Greater Bendigo City Council
North Blackwood,3458,Hepburn Shire Council
North Geelong,3215,Greater Geelong City Council
North Melbourne,3051,Melbourne City Council
North Shore,3214,Greater Geelong City Council
North Wangaratta,3678,Wangaratta Rural City Council
North Warrandyte,3113,Nillumbik Shire Council
North Wonthaggi,3995,Bass Coast Shire Council
Northcote,3070,Darebin City Council
Northwood,3660,Mitchell Shire Council
Norval,3377,Ararat Rural City Council
Notting Hill,3168,Monash City Council
Nowa Nowa,3887,East Gippsland Shire Council
Nowhere Creek,3469,Pyrenees Shire Council
Nowie,3585,Swan Hill Rural City Council
Nug Nug,3737,Alpine Shire Council
Nuggetty,3463,Mount Alexander Shire Council
Nulla Vale,3435,Mitchell Shire Council
Nullawarre,3268,Moyne Shire Council
Nullawarre North,3268,Moyne Shire Council
Nullawil,3529,Buloke Shire Council
Numurkah,3636,Moira Shire Council
Nunawading,3131,Manningham City Council
Nunawading,3131,Whitehorse City Council
Nungurner,3909,East Gippsland Shire Council
Nurcoung,3401,West Wimmera Shire Council
Nurrabiel,3401,Horsham Rural City Council
Nurran,3888,East Gippsland Shire Council
Nutfield,3099,Nillumbik Shire Council
Nyah,3594,Swan Hill Rural City Council
Nyah West,3595,Swan Hill Rural City Council
Nyarrin,3533,Buloke Shire Council
Nyerimilang,3909,East Gippsland Shire Council
Nyora,3987,Baw Baw Shire Council
Nyora,3987,Cardinia Shire Council
Nyora,3987,South Gippsland Shire Council
Nyrraby,3585,Swan Hill Rural City Council
Oak Park,3046,Moreland City Council
Oaklands Junction,3063,Hume City Council
Oakleigh,3166,Monash City Council
Oakleigh East,3166,Monash City Council
Oakleigh South,3167,Kingston City Council
Oakleigh South,3167,Monash City Council
Oakvale,3540,Gannawarra Shire Council
Ocean Grange,3880,East Gippsland Shire Council
Ocean Grove,3226,Greater Geelong City Council
Ocean Grove,3226,Latrobe City Council
Officer,3809,Cardinia Shire Council
Officer South,3809,Cardinia Shire Council
Old Tallangatta,3701,Towong Shire Council
Olinda,3788,Yarra Ranges Shire Council
Ombersley,3241,Colac Otway Shire Council
Ombersley,3241,Surf Coast Shire Council
Omeo,3898,East Gippsland Shire Council
Omeo Valley,3898,East Gippsland Shire Council
Ondit,3249,Colac Otway Shire Council
Orbost,3888,East Gippsland Shire Council
Orford,3284,Moyne Shire Council
Ormond,3204,Glen Eira City Council
Orrvale,3631,Greater Shepparton City Council
Osbornes Flat,3691,Indigo Shire Council
Outtrim,3951,Bass Coast Shire Council
Outtrim,3951,South Gippsland Shire Council
Ouyen,3490,Mildura Rural City Council
Ovens,3738,Alpine Shire Council
Oxley,3678,Wangaratta Rural City Council
Oxley Flats,3678,Wangaratta Rural City Council
Ozenkadnook,3413,West Wimmera Shire Council
Paaratte,3268,Corangamite Shire Council
Painswick,3551,Loddon Shire Council
Pakenham,3810,Cardinia Shire Council
Pakenham South,3810,Cardinia Shire Council
Pakenham Upper,3810,Cardinia Shire Council
Panitya,3512,Mildura Rural City Council
Panmure,3265,Moyne Shire Council
Panton Hill,3759,Nillumbik Shire Council
Paradise,3477,Northern Grampians Shire Council
Paradise Beach,3851,Wellington Shire Council
Paraparap,3240,Surf Coast Shire Council
Park Orchards,3114,Manningham City Council
Park Orchards,3114,Maroondah City Council
Parkdale,3195,Kingston City Council
Parkville,3052,Melbourne City Council
Parwan,3340,Melton City Council
Parwan,3340,Moorabool Shire Council
Paschendale,3315,Glenelg Shire Council
Pascoe Vale,3044,Moreland City Council
Pascoe Vale South,3044,Moreland City Council
Pastoria,3444,Macedon Ranges Shire Council
Pastoria East,3444,Macedon Ranges Shire Council
Patchewollock,3491,Mildura Rural City Council
Patchewollock,3491,Yarriambiack Shire Council
Patho,3564,Campaspe Shire Council
Patterson Lakes,3197,Kingston City Council
Patyah,3318,West Wimmera Shire Council
Paynesville,3880,East Gippsland Shire Council
Pearcedale,3912,Casey City Council
Pearcedale,3912,Mornington Peninsula Shire Council
Pearsondale,3851,Wellington Shire Council
Peechelba,3678,Moira Shire Council
Peechelba,3678,Wangaratta Rural City Council
Peechelba East,3678,Wangaratta Rural City Council
Pelluebla,3727,Moira Shire Council
Pennyroyal,3235,Colac Otway Shire Council
Pennyroyal,3235,Surf Coast Shire Council
Penshurst,3289,Moyne Shire Council
Penshurst,3289,Southern Grampians Shire Council
Pental Island,3586,Swan Hill Rural City Council
Pentland Hills,3341,Moorabool Shire Council
Percydale,3478,Pyrenees Shire Council
Peronne,3413,West Wimmera Shire Council
Perry Bridge,3862,Wellington Shire Council
Peterborough,3270,Corangamite Shire Council
Peterborough,3270,Moyne Shire Council
Petticoat Creek,3233,Colac Otway Shire Council
Pheasant Creek,3757,Murrindindi Shire Council
Piangil,3597,Swan Hill Rural City Council
Picola,3639,Moira Shire Council
Picola West,3639,Moira Shire Council
Piedmont,3833,Baw Baw Shire Council
Pier Milan,3533,Buloke Shire Council
Pigeon Ponds,3407,Southern Grampians Shire Council
Piggoreet,3351,Golden Plains Shire Council
Pimpinio,3401,Horsham Rural City Council
Pine Grove,3573,Campaspe Shire Council
Pine Lodge,3631,Greater Shepparton City Council
Pine Mountain,3709,Towong Shire Council
Pine View,3579,Gannawarra Shire Council
Pioneer Bay,3984,Bass Coast Shire Council
Pipers Creek,3444,Macedon Ranges Shire Council
Pira,3585,Swan Hill Rural City Council
Piries,3723,Mansfield Shire Council
Pirron Yallock,3249,Colac Otway Shire Council
Pirron Yallock,3249,Corangamite Shire Council
Pitfield,3351,Golden Plains Shire Council
Pittong,3360,Golden Plains Shire Council
Pittong,3360,Pyrenees Shire Council
Plenty,3090,Nillumbik Shire Council
Plumpton,3335,Melton City Council
Point Cook,3030,Wyndham City Council
Point Leo,3916,Mornington Peninsula Shire Council
Point Lonsdale,3225,Greater Geelong City Council
Point Lonsdale,3225,Queenscliffe Borough Council
Polisbet,3585,Swan Hill Rural City Council
Pomborneit,3260,Corangamite Shire Council
Pomborneit East,3249,Corangamite Shire Council
Pomborneit North,3260,Corangamite Shire Council
Pomonal,3381,Ararat Rural City Council
Pomonal,3381,Northern Grampians Shire Council
Pompapiel,3571,Loddon Shire Council
Poolaijelo,3312,West Wimmera Shire Council
Pootilla,3352,Moorabool Shire Council
Poowong,3988,South Gippsland Shire Council
Poowong East,3988,Baw Baw Shire Council
Poowong East,3988,South Gippsland Shire Council
Poowong North,3988,Baw Baw Shire Council
Poowong North,3988,South Gippsland Shire Council
Porcupine Ridge,3461,Hepburn Shire Council
Porepunkah,3740,Alpine Shire Council
Port Albert,3971,Wellington Shire Council
Port Campbell,3269,Corangamite Shire Council
Port Fairy,3284,Moyne Shire Council
Port Franklin,3964,South Gippsland Shire Council
Port Melbourne,3207,Melbourne City Council
Port Melbourne,3207,Port Phillip City Council
Port Welshpool,3965,South Gippsland Shire Council
Portarlington,3223,Greater Geelong City Council
Portland,3305,Glenelg Shire Council
Portland North,3305,Glenelg Shire Council
Portland West,3305,Glenelg Shire Council
Portsea,3944,Mornington Peninsula Shire Council
Pound Creek,3996,Bass Coast Shire Council
Pound Creek,3996,South Gippsland Shire Council
Powelltown,3797,Yarra Ranges Shire Council
Powers Creek,3312,West Wimmera Shire Council
Powlett Plains,3517,Loddon Shire Council
Prahran,3181,Stonnington City Council
Prairie,3572,Loddon Shire Council
Pranjip,3666,Strathbogie Shire Council
Preston,3072,Darebin City Council
Princes Hill,3054,Yarra City Council
Princetown,3269,Corangamite Shire Council
Puckapunyal,3662,Mitchell Shire Council
Pura Pura,3271,Ararat Rural City Council
Pura Pura,3271,Moyne Shire Council
Purdeet,3289,Moyne Shire Council
Purdeet,3289,Southern Grampians Shire Council
Purnim,3278,Moyne Shire Council
Purnim West,3278,Moyne Shire Council
Pyalong,3521,Mitchell Shire Council
Pyramid Hill,3575,Loddon Shire Council
Quambatook,3540,Gannawarra Shire Council
Quandong,3030,Wyndham City Council
Quantong,3401,Horsham Rural City Council
Quarry Hill,3550,Greater Bendigo City Council
Queenscliff,3225,Queenscliffe Borough Council
Queensferry,3984,Bass Coast Shire Council
Raglan,3373,Pyrenees Shire Council
Rainbow,3424,Hindmarsh Shire Council
Rainbow,3424,Yarriambiack Shire Council
Ranceby,3951,South Gippsland Shire Council
Rathscar,3465,Pyrenees Shire Council
Rathscar West,3465,Pyrenees Shire Council
Ravenhall,3023,Melton City Council
Ravenswood,3453,Greater Bendigo City Council
Ravenswood,3453,Mount Alexander Shire Council
Ravenswood South,3453,Mount Alexander Shire Council
Rawson,3825,Baw Baw Shire Council
Raymond Island,3880,East Gippsland Shire Council
Raywood,3570,Greater Bendigo City Council
Raywood,3570,Loddon Shire Council
Red Cliffs,3496,Mildura Rural City Council
Red Hill,3937,Mornington Peninsula Shire Council
Red Hill South,3937,Mornington Peninsula Shire Council
Red Lion,3371,Central Goldfields Shire Council
Redan,3350,Ballarat City Council
Redbank,3477,Northern Grampians Shire Council
Redbank,3477,Pyrenees Shire Council
Redcastle,3523,Campaspe Shire Council
Redcastle,3523,Greater Bendigo City Council
Redesdale,3444,Greater Bendigo City Council
Redesdale,3444,Mount Alexander Shire Council
Reedy Creek,3658,Mitchell Shire Council
Reedy Dam,3395,Buloke Shire Council
Reedy Flat,3895,East Gippsland Shire Council
Reedy Lake,3579,Gannawarra Shire Council
Reefton,3799,Yarra Ranges Shire Council
Research,3095,Nillumbik Shire Council
Reservoir,3073,Darebin City Council
Rheola,3517,Loddon Shire Council
Rhyll,3923,Bass Coast Shire Council
Rhymney,3377,Ararat Rural City Council
Riachella,3385,Northern Grampians Shire Council
Rich Avon,3480,Buloke Shire Council
Rich Avon East,3480,Northern Grampians Shire Council
Rich Avon West,3480,Northern Grampians Shire Council
Richmond,3121,Yarra City Council
Richmond Plains,3518,Buloke Shire Council
Richmond Plains,3518,Loddon Shire Council
Riddells Creek,3431,Macedon Ranges Shire Council
Riggs Creek,3666,Strathbogie Shire Council
Ringwood,3134,Maroondah City Council
Ringwood East,3135,Maroondah City Council
Ringwood North,3134,Manningham City Council
Ringwood North,3134,Maroondah City Council
Ripplebrook,3818,Baw Baw Shire Council
Rippleside,3215,Greater Geelong City Council
Ripponlea,3185,Port Phillip City Council
Riverside,3401,Horsham Rural City Council
Riverslea,3860,Wellington Shire Council
Robertsons Beach,3971,Wellington Shire Council
Robinvale,3549,Swan Hill Rural City Council
Rochester,3561,Campaspe Shire Council
Rochford,3442,Macedon Ranges Shire Council
Rockbank,3335,Melton City Council
Rocklands,3401,Southern Grampians Shire Council
Rocklyn,3364,Hepburn Shire Council
Rocky Point,3377,Ararat Rural City Council
Rokeby,3821,Baw Baw Shire Council
Rokewood,3330,Golden Plains Shire Council
Rokewood Junction,3351,Golden Plains Shire Council
Romsey,3434,Macedon Ranges Shire Council
Rosanna,3084,Banyule City Council
Rose River,3678,Wangaratta Rural City Council
Rosebery,3395,Yarriambiack Shire Council
Rosebrook,3285,Moyne Shire Council
Rosebud,3939,Mornington Peninsula Shire Council
Rosedale,3847,Wellington Shire Council
Roses Gap,3385,Northern Grampians Shire Council
Rosewhite,3737,Alpine Shire Council
Roslynmead,3564,Campaspe Shire Council
Ross Creek,3351,Golden Plains Shire Council
Rossbridge,3377,Ararat Rural City Council
Rostron,3477,Northern Grampians Shire Council
Rowsley,3340,Moorabool Shire Council
Rowville,3178,Knox City Council
Roxburgh Park,3064,Hume City Council
Rubicon,3712,Murrindindi Shire Council
Ruby,3953,South Gippsland Shire Council
Ruffy,3666,Murrindindi Shire Council
Ruffy,3666,Strathbogie Shire Council
Running Creek,3691,Alpine Shire Council
Runnymede,3558,Campaspe Shire Council
Rupanyup,3388,Northern Grampians Shire Council
Rupanyup,3388,Yarriambiack Shire Council
Rushworth,3612,Campaspe Shire Council
Russells Bridge,3331,Golden Plains Shire Council
Rutherglen,3685,Indigo Shire Council
Ryanston,3992,Bass Coast Shire Council
Rye,3941,Mornington Peninsula Shire Council
Rythdale,3810,Cardinia Shire Council
Safety Beach,3936,Mornington Peninsula Shire Council
Sailors Falls,3461,Hepburn Shire Council
Sailors Gully,3556,Greater Bendigo City Council
Sailors Hill,3461,Hepburn Shire Council
Sale,3850,Wellington Shire Council
Salisbury West,3517,Loddon Shire Council
Samaria,3673,Benalla Rural City Council
San Remo,3925,Bass Coast Shire Council
Sandford,3312,Glenelg Shire Council
Sandhill Lake,3579,Gannawarra Shire Council
Sandhurst,3977,Frankston City Council
Sandon,3462,Mount Alexander Shire Council
Sandringham,3191,Bayside City Council
Sandy Creek,3695,Indigo Shire Council
Sandy Point,3959,South Gippsland Shire Council
Sarsfield,3875,East Gippsland Shire Council
Sassafras,3787,Knox City Council
Sassafras,3787,Yarra Ranges Shire Council
Sawmill Settlement,3723,Mansfield Shire Council
Scarsdale,3351,Golden Plains Shire Council
Scoresby,3179,Knox City Council
Scotchmans Lead,3352,Ballarat City Council
Scotsburn,3352,Ballarat City Council
Scotsburn,3352,Moorabool Shire Council
Scotts Creek,3267,Corangamite Shire Council
Sea Lake,3533,Buloke Shire Council
Seabrook,3028,Hobsons Bay City Council
Seacombe,3851,Wellington Shire Council
Seaford,3198,Frankston City Council
Seaholme,3018,Hobsons Bay City Council
Seaspray,3851,Wellington Shire Council
Seaton,3858,Wellington Shire Council
Seaview,3821,Baw Baw Shire Council
Sebastian,3556,Greater Bendigo City Council
Sebastian,3556,Loddon Shire Council
Sebastopol,3356,Ballarat City Council
Seddon,3011,Maribyrnong City Council
Sedgwick,3551,Greater Bendigo City Council
Selby,3159,Yarra Ranges Shire Council
Separation Creek,3234,Colac Otway Shire Council
Serpentine,3517,Loddon Shire Council
Serviceton,3420,West Wimmera Shire Council
Seville,3139,Yarra Ranges Shire Council
Seville East,3139,Yarra Ranges Shire Council
Seymour,3660,Mitchell Shire Council
Shady Creek,3821,Baw Baw Shire Council
Shannonvale,3898,East Gippsland Shire Council
Shays Flat,3377,Northern Grampians Shire Council
Shays Flat,3377,Pyrenees Shire Council
She Oaks,3331,Golden Plains Shire Council
Sheans Creek,3666,Strathbogie Shire Council
Sheep Hills,3392,Yarriambiack Shire Council
Shelbourne,3515,Greater Bendigo City Council
Shelbourne,3515,Loddon Shire Council
Shelbourne,3515,Mount Alexander Shire Council
Shelford,3329,Golden Plains Shire Council
Shelley,3701,Towong Shire Council
Shepherds Flat,3461,Hepburn Shire Council
Shepparton,3630,Greater Shepparton City Council
Shepparton East,3631,Greater Shepparton City Council
Shepparton North,3631,Greater Shepparton City Council
Sherbrooke,3789,Yarra Ranges Shire Council
Shoreham,3916,Mornington Peninsula Shire Council
Sidonia,3444,Macedon Ranges Shire Council
Silvan,3795,Yarra Ranges Shire Council
Silverleaves,3922,Bass Coast Shire Council
Simpson,3266,Colac Otway Shire Council
Simpson,3266,Corangamite Shire Council
Simpsons Creek,3888,East Gippsland Shire Council
Simson,3465,Central Goldfields Shire Council
Skenes Creek,3233,Colac Otway Shire Council
Skenes Creek North,3233,Colac Otway Shire Council
Skibo,3260,Corangamite Shire Council
Skinners Flat,3518,Loddon Shire Council
Skipton,3361,Corangamite Shire Council
Skipton,3361,Pyrenees Shire Council
Skye,3977,Frankston City Council
Slaty Creek,3477,Northern Grampians Shire Council
Smeaton,3364,Hepburn Shire Council
Smiths Beach,3922,Bass Coast Shire Council
Smiths Gully,3760,Nillumbik Shire Council
Smokeytown,3364,Hepburn Shire Council
Smoko,3741,Alpine Shire Council
Smythes Creek,3351,Ballarat City Council
Smythes Creek,3351,Golden Plains Shire Council
Smythesdale,3351,Golden Plains Shire Council
Smythesdale,3351,Pyrenees Shire Council
Snake Valley,3351,Pyrenees Shire Council
Soldiers Hill,3350,Ballarat City Council
Somers,3927,Mornington Peninsula Shire Council
Somerton,3062,Hume City Council
Somerville,3912,Mornington Peninsula Shire Council
Sorrento,3943,Mornington Peninsula Shire Council
South Dudley,3995,Bass Coast Shire Council
South Geelong,3220,Greater Geelong City Council
South Kingsville,3015,Hobsons Bay City Council
South Melbourne,3205,Port Phillip City Council
South Morang,3752,Whittlesea City Council
South Purrumbete,3260,Corangamite Shire Council
South Wharf,3006,Melbourne City Council
South Yarra,3141,Melbourne City Council
South Yarra,3141,Stonnington City Council
Southbank,3006,Melbourne City Council
Southbank,3006,Port Phillip City Council
Southern Cross,3283,Moyne Shire Council
Spargo Creek,3461,Moorabool Shire Council
Speed,3488,Yarriambiack Shire Council
Speewa,3585,Swan Hill Rural City Council
Spotswood,3015,Hobsons Bay City Council
Spring Gully,3550,Greater Bendigo City Council
Spring Hill,3444,Hepburn Shire Council
Spring Hill,3444,Macedon Ranges Shire Council
Springbank,3352,Moorabool Shire Council
Springdallah,3351,Golden Plains Shire Council
Springfield,3434,Macedon Ranges Shire Council
Springfield,3544,Buloke Shire Council
Springhurst,3682,Wangaratta Rural City Council
Springmount,3364,Hepburn Shire Council
Springvale,3171,Greater Dandenong City Council
Springvale South,3172,Greater Dandenong City Council
St Albans,3021,Brimbank City Council
St Albans Park,3219,Greater Geelong City Council
St Andrews,3761,Nillumbik Shire Council
St Andrews Beach,3941,Mornington Peninsula Shire Council
St Arnaud,3478,Northern Grampians Shire Council
St Arnaud East,3477,Northern Grampians Shire Council
St Arnaud North,3477,Northern Grampians Shire Council
St Clair,3995,Bass Coast Shire Council
St Germains,3620,Greater Shepparton City Council
St Helena,3088,Banyule City Council
St Helens,3285,Moyne Shire Council
St Helens Plains,3401,Horsham Rural City Council
St James,3727,Moira Shire Council
St Kilda,3182,Port Phillip City Council
St Kilda East,3183,Glen Eira City Council
St Kilda East,3183,Port Phillip City Council
St Kilda West,3182,Port Phillip City Council
St Leonards,3223,Greater Geelong City Council
Staceys Bridge,3971,Wellington Shire Council
Staffordshire Reef,3351,Golden Plains Shire Council
Staghorn Flat,3691,Indigo Shire Council
Staghorn Flat,3691,Wodonga City Council
Stanhope,3623,Campaspe Shire Council
Stanhope South,3623,Greater Shepparton City Council
Stanley,3747,Indigo Shire Council
Staughton Vale,3340,Greater Geelong City Council
Stavely,3379,Ararat Rural City Council
Stawell,3380,Northern Grampians Shire Council
Steels Creek,3775,Yarra Ranges Shire Council
Steiglitz,3331,Golden Plains Shire Council
Stewarton,3725,Benalla Rural City Council
Stewarton,3725,Greater Shepparton City Council
Stockdale,3862,Wellington Shire Council
Stockyard Hill,3373,Pyrenees Shire Council
Stonehaven,3218,Golden Plains Shire Council
Stoneleigh,3373,Ararat Rural City Council
Stoneleigh,3373,Pyrenees Shire Council
Stony Creek,3371,Central Goldfields Shire Council
Stony Creek,3957,South Gippsland Shire Council
Stonyford,3260,Colac Otway Shire Council
Stonyford,3260,Corangamite Shire Council
Stradbroke,3851,Wellington Shire Council
Strangways,3461,Hepburn Shire Council
Strangways,3461,Mount Alexander Shire Council
Straten,3533,Buloke Shire Council
Stratford,3862,Wellington Shire Council
Strath Creek,3658,Murrindindi Shire Council
Strathallan,3622,Campaspe Shire Council
Strathbogie,3666,Strathbogie Shire Council
Strathdale,3550,Greater Bendigo City Council
Strathdownie,3312,Glenelg Shire Council
Strathewen,3099,Nillumbik Shire Council
Strathfieldsaye,3551,Greater Bendigo City Council
Strathkellar,3301,Southern Grampians Shire Council
Strathlea,3364,Central Goldfields Shire Council
Strathlea,3364,Mount Alexander Shire Council
Strathmerton,3641,Moira Shire Council
Strathmore,3041,Moonee Valley City Council
Strathmore Heights,3041,Moonee Valley City Council
Strathtulloh,3338,Melton City Council
Streatham,3351,Ararat Rural City Council
Streatham,3351,Pyrenees Shire Council
Strzelecki,3950,Baw Baw Shire Council
Strzelecki,3950,South Gippsland Shire Council
Stuart Mill,3477,Northern Grampians Shire Council
Sugarloaf,3234,Colac Otway Shire Council
Sugarloaf Creek,3658,Mitchell Shire Council
Suggan Buggan,3885,East Gippsland Shire Council
Sulky,3352,Ballarat City Council
Sulky,3352,Hepburn Shire Council
Sunbury,3429,Hume City Council
Sunday Creek,3658,Mitchell Shire Council
Sunderland Bay,3922,Bass Coast Shire Council
Sunset Strip,3922,Bass Coast Shire Council
Sunshine,3020,Brimbank City Council
Sunshine North,3020,Brimbank City Council
Sunshine West,3020,Brimbank City Council
Surf Beach,3922,Bass Coast Shire Council
Surrey Hills,3127,Boroondara City Council
Surrey Hills,3127,Whitehorse City Council
Sutherland,3477,Northern Grampians Shire Council
Sutherlands Creek,3331,Golden Plains Shire Council
Sutton,3530,Buloke Shire Council
Sutton Grange,3448,Mount Alexander Shire Council
Swan Bay,3225,Greater Geelong City Council
Swan Hill,3585,Swan Hill Rural City Council
Swan Hill West,3585,Swan Hill Rural City Council
Swan Marsh,3249,Colac Otway Shire Council
Swan Reach,3903,East Gippsland Shire Council
Swanpool,3673,Benalla Rural City Council
Swanwater,3477,Northern Grampians Shire Council
Swanwater West,3480,Northern Grampians Shire Council
Swifts Creek,3896,East Gippsland Shire Council
Sydenham,3037,Brimbank City Council
Sylvaterre,3575,Loddon Shire Council
Tabilk,3607,Strathbogie Shire Council
Tabor,3289,Southern Grampians Shire Council
Taggerty,3714,Murrindindi Shire Council
Tahara,3301,Glenelg Shire Council
Tahara,3301,Southern Grampians Shire Council
Tahara Bridge,3315,Glenelg Shire Council
Tahara West,3310,Glenelg Shire Council
Talbot,3371,Central Goldfields Shire Council
Talgarno,3691,Towong Shire Council
Tallandoon,3701,Towong Shire Council
Tallangatta,3700,Towong Shire Council
Tallangatta East,3700,Towong Shire Council
Tallangatta South,3701,Towong Shire Council
Tallangatta Valley,3701,Towong Shire Council
Tallarook,3659,Mitchell Shire Council
Tallygaroopna,3634,Greater Shepparton City Council
Tambo Crossing,3893,East Gippsland Shire Council
Tambo Upper,3885,East Gippsland Shire Council
Tamboon,3890,East Gippsland Shire Council
Taminick,3675,Benalla Rural City Council
Tamleugh,3669,Strathbogie Shire Council
Tamleugh North,3669,Greater Shepparton City Council
Tandarook,3260,Corangamite Shire Council
Tandarra,3571,Loddon Shire Council
Tangambalanga,3691,Indigo Shire Council
Tanjil Bren,3833,Baw Baw Shire Council
Tanjil South,3825,Baw Baw Shire Council
Tanjil South,3825,Latrobe City Council
Tantaraboo,3764,Macedon Ranges Shire Council
Tanwood,3478,Pyrenees Shire Council
Tanybryn,3249,Colac Otway Shire Council
Taradale,3447,Hepburn Shire Council
Taradale,3447,Mount Alexander Shire Council
Tarcombe,3666,Mitchell Shire Council
Tarcombe,3666,Strathbogie Shire Council
Tarilta,3451,Hepburn Shire Council
Tarilta,3451,Mount Alexander Shire Council
Tarnagulla,3551,Loddon Shire Council
Tarneit,3029,Wyndham City Council
Tarnook,3670,Benalla Rural City Council
Taroon,3265,Moyne Shire Council
Tarra Valley,3971,Wellington Shire Council
Tarranyurk,3414,Hindmarsh Shire Council
Tarraville,3971,Wellington Shire Council
Tarrawarra,3775,Yarra Ranges Shire Council
Tarrawingee,3678,Wangaratta Rural City Council
Tarrayoukyan,3315,Southern Grampians Shire Council
Tarrayoukyan,3315,West Wimmera Shire Council
Tarrengower,3463,Mount Alexander Shire Council
Tarrenlea,3315,Southern Grampians Shire Council
Tarrington,3301,Southern Grampians Shire Council
Tarrone,3283,Moyne Shire Council
Tarwin,3956,South Gippsland Shire Council
Tarwin Lower,3956,South Gippsland Shire Council
Tatong,3673,Benalla Rural City Council
Tatura,3616,Greater Shepparton City Council
Tatura East,3616,Greater Shepparton City Council
Tatyoon,3378,Ararat Rural City Council
Tawonga,3697,Alpine Shire Council
Tawonga South,3698,Alpine Shire Council
Taylor Bay,3713,Murrindindi Shire Council
Taylors Hill,3037,Melton City Council
Taylors Lakes,3038,Brimbank City Council
Teal Point,3579,Gannawarra Shire Council
Tecoma,3160,Yarra Ranges Shire Council
Teddywaddy,3527,Buloke Shire Council
